player_name,role,mean_score,sd_score,q025,q50,q975,mean_elo_like,sd_elo_like,n_boot
Quinnen Williams,Rusher,8.886087067694482e-5,7.280901564717674e-6,8.396991455085938e-5,8.886087067694482e-5,9.375182680303026e-5,1000.0154369240447,0.0012648626653665135,2
J.J. Watt,Rusher,8.7825550625217e-5,3.0033880454996744e-5,6.76502481168964e-5,8.7825550625217e-5,1.0800085313353762e-4,1000.0152570705307,0.005217378904507158,2
Maxx Crosby,Rusher,8.489673201302441e-5,1.1302687433677009e-5,7.730413542953867e-5,8.489673201302441e-5,9.248932859651015e-5,1000.0147482826259,0.001963518429514735,2
John Simpson,Blocker,8.46464641081448e-5,1.0910259652273932e-5,7.731748145274736e-5,8.46464641081448e-5,9.197544676354223e-5,1000.0147048066378,0.0018952657089806575,2
Erik McCoy,Blocker,8.408214642138966e-5,9.802508420494991e-5,1.8233654742072354e-5,8.408214642138966e-5,1.4993063810070695e-4,1000.0146067746149,0.01702866074702476,2
Jadeveon Clowney,Rusher,8.37866434729532e-5,1.9120278358364167e-5,7.094256891184819e-5,8.37866434729532e-5,9.66307180340582e-5,1000.014555440495,0.003321573069652685,2
Chris Jones,Rusher,8.358368782705753e-5,3.7403712182851796e-5,5.8457690227315366e-5,8.358368782705753e-5,1.0870968542679971e-4,1000.0145201834881,0.006497730837676846,2
Khalil Mack,Rusher,8.352262209971066e-5,1.949868040910033e-5,7.042435541531972e-5,8.352262209971066e-5,9.66208887841016e-5,1000.0145095752847,0.0033873082386829544,2
Jonathan Allen,Rusher,8.052353643772934e-5,2.7745230654206438e-6,7.865974656731778e-5,8.052353643772934e-5,8.238732630814089e-5,1000.0139885807432,4.8202453913621896e-4,2
Demarcus Walker,Rusher,8.039291855891999e-5,4.136972544498906e-5,5.260274583084144e-5,8.039291855891999e-5,1.0818309128699855e-4,1000.0139658900937,0.007186616875231009,2
Roy Robertson-Harris,Rusher,8.006634696022778e-5,1.7727865235483577e-5,6.815762792245468e-5,8.006634696022778e-5,9.197506599800087e-5,1000.0139091587964,0.003079686135329063,2
Sam Mustipher,Blocker,7.973673135452984e-5,7.127261973196883e-6,7.494898284561634e-5,7.973673135452984e-5,8.452447986344335e-5,1000.0138518987009,0.0012381727347048916,2
Creed Humphrey,Blocker,7.802399004663922e-5,3.5615382373866953e-6,7.563152159948348e-5,7.802399004663922e-5,8.041645849379497e-5,1000.0135543650613,6.186620451476727e-4,2
Mario Addison,Rusher,7.611808943182144e-5,3.601799150911429e-5,5.192295169304793e-5,7.611808943182144e-5,1.0031322717059493e-4,1000.0132232762132,0.006256925468411599,2
Gabe Jackson,Blocker,7.584580778090957e-5,2.5752607757333815e-5,5.8546456381383936e-5,7.584580778090957e-5,9.31451591804352e-5,1000.0131759760459,0.004473645661147005,2
Taven Bryan,Rusher,7.518584789101794e-5,1.7977941052316876e-5,6.310914006264591e-5,7.518584789101794e-5,8.726255571938996e-5,1000.0130613292704,0.0031231287542460287,2
Tytus Howard,Blocker,7.474164326026791e-5,3.5053166902073886e-05,5.119462784267363e-5,7.474164326026791e-5,9.828865867786219e-5,1000.0129841630225,0.006089318267223253,2
Kendrick Green,Blocker,7.458531284513207e-5,6.960290490379792e-5,2.782946109976205e-5,7.458531284513207e-5,1.213411645905021e-4,1000.0129570056478,0.012091222493411538,2
Jordan Jenkins,Rusher,7.363891093456915e-5,7.0377855101377936e-6,6.891126836875204e-5,7.363891093456915e-5,7.836655350038627e-5,1000.0127925987969,0.0012225480485423856,2
D.J. Jones,Rusher,7.198280643326265e-5,1.5037331802072803e-5,6.188145710947473e-5,7.198280643326265e-5,8.208415575705056e-5,1000.0125049039783,0.00261221157341092,2
Trey Hendrickson,Rusher,7.171165364929705e-5,1.3439221574692026e-5,6.268383717543043e-5,7.171165364929705e-5,8.073947012316367e-5,1000.0124577999152,0.002334591392116521,2
James Daniels,Blocker,6.993865816579989e-5,5.567356940005164e-5,3.2539857632945315e-5,6.993865816579989e-5,1.0733745869865445e-4,1000.0121497990532,0.009671449075000536,2
Dalton Risner,Blocker,6.809397058536826e-5,3.1193031649566076e-5,4.7140006590452237e-5,6.809397058536826e-5,8.90479345802843e-5,1000.0118293439984,0.005418744091422559,2
Troy Reeder,Rusher,6.519652786071834e-5,5.233562534715957e-5,3.0039996059133992e-5,6.519652786071834e-5,1.0035305966230269e-4,1000.0113260066436,0.009091588801857014,2
Cody Whitehair,Blocker,6.497570812755e-5,1.750599950603898e-5,5.3216027713489916e-5,6.497570812755e-5,7.673538854161009e-5,1000.011287646327,0.003041144110498127,2
David Andrews,Blocker,6.422094138433128e-5,7.710495190122797e-5,1.2425578749531435e-5,6.422094138433128e-5,1.1601630401913111e-4,1000.0111565299144,0.013394542571492191,2
Josh Sweat,Rusher,6.38558078290219e-5,3.300525160089839e-5,4.1684482468346656e-5,6.38558078290219e-5,8.602713318969714e-5,1000.011093099719,0.005733639973856599,2
Kevin Zeitler,Blocker,6.359938065253426e-5,2.8397232792972334e-5,4.45234985714327e-5,6.359938065253426e-5,8.267526273363581e-5,1000.0110485537559,0.004933145117557509,2
Jacob Martin,Rusher,6.352273112928001e-5,1.367305570456964e-5,5.433783624144953e-5,6.352273112928001e-5,7.270762601711047e-5,1000.0110352383699,0.002375212541078467,2
Brandon Linder,Blocker,6.315417823734459e-5,1.1413646315493218e-5,5.548704486498199e-5,6.315417823734459e-5,7.08213116097072e-5,1000.010971214175,0.0019827939615054044,2
Andrew Norwell,Blocker,6.306217188030045e-5,7.4261203156123574e-6,5.8073664848877596e-5,6.306217188030045e-5,6.80506789117233e-5,1000.0109552310337,0.0012900897462402793,2
Chandler Jones,Rusher,6.224451901844271e-5,1.0945022071252694e-5,5.489218465796446e-5,6.224451901844271e-5,6.959685337892097e-5,1000.0108131901833,0.0019013855921940625,2
Alex Highsmith,Rusher,6.137772488901789e-5,4.358787365455027e-5,3.2097507902314676e-5,6.137772488901789e-5,9.06579418757211e-5,1000.0106626126203,0.007571948686125666,2
Matt Hennessy,Blocker,6.062995773628372e-5,2.3051532979643035e-5,4.5145057213965325e-5,6.062995773628372e-5,7.611485825860211e-5,1000.0105327121612,0.004004501945260799,2
Wyatt Teller,Blocker,5.9758555252905726e-5,2.9759341783126334e-5,3.976767449333377e-5,5.9758555252905726e-5,7.97494360124777e-5,1000.0103813340451,0.005169686652299768,2
Jerry Hughes,Rusher,5.9734004090445275e-5,5.004186254695933e-5,2.6118310757793216e-5,5.9734004090445275e-5,9.334969742309733e-5,1000.0103770690714,0.008693121391054935,2
Lucas Patrick,Blocker,5.92005521502707e-5,3.8255010300427224e-5,3.350269381236704e-5,5.92005521502707e-5,8.489841048817435e-5,1000.0102843989778,0.006645535435166424,2
Tae Crowder,Rusher,5.888570762314014e-5,1.490221968167084e-6,5.788464886693423e-5,5.888570762314014e-5,5.988676637934604e-5,1000.0102297048813,2.589185873221265e-4,2
Davon Hamilton,Rusher,5.830679595862925e-5,1.810455591883226e-5,4.6145034411080776e-5,5.830679595862925e-5,7.046855750617771e-5,1000.0101291376249,0.0031450429768902057,2
Folorunso Fatukasi,Rusher,5.813041570405076e-5,6.7115145414698375e-6,5.3621946131960586e-5,5.813041570405076e-5,6.263888527614093e-5,1000.0100984972364,0.001165868975941795,2
Ben Jones,Blocker,5.785757101311747e-5,1.3769058390586967e-5,4.8608186182506776e-5,5.785757101311747e-5,6.710695584372816e-5,1000.0100510992588,0.0023918899157014738,2
Marcus Davenport,Rusher,5.690524913539964e-5,3.155238940671577e-5,3.57098860488787e-5,5.690524913539964e-5,7.81006122219206e-5,1000.0098856640043,0.005481170927787403,2
Halapoulivaati Vaitai,Blocker,5.423465388117262e-5,2.901474201593054e-5,3.4743959089022024e-5,5.423465388117262e-5,7.372534867332321e-5,1000.0094217340913,0.005040336424325045,2
Sheldon Rankins,Rusher,5.413742152142044e-5,6.709254837512169e-6,4.9630469908722615e-5,5.413742152142044e-5,5.864437313411828e-5,1000.0094048431004,0.0011655574577004596,2
Evan Brown,Blocker,5.373062732775824e-5,5.438698547093757e-6,5.0077173735452784e-5,5.373062732775824e-5,5.7384080920063684e-5,1000.009334175711,9.447581908277651e-4,2
Kevin Dotson,Blocker,5.132046879896458e-5,4.709020802822657e-5,1.9687553645932576e-5,5.132046879896458e-5,8.295338395199658e-5,1000.0089154882912,0.008180366483086525,2
Justin Pugh,Blocker,5.1056295526050904e-5,4.8576774049803384e-05,1.8424777504207343e-5,5.10562955260509e-5,8.368781354789444e-5,1000.0088695966933,0.00843869048365968,2
Randy Gregory,Rusher,5.032548336531296e-5,1.4268790233904475e-6,4.9366975323609346e-5,5.032548336531296e-5,5.128399140701658e-5,1000.0087426416178,2.478337581981068e-4,2
Chase Roullier,Blocker,4.9986321441548094e-5,1.5735667172382462e-5,3.9415864325666216e-5,4.9986321441548094e-5,6.055677855742997e-5,1000.008683723157,0.0027336058850707255,2
Darius Philon,Rusher,4.958229008854024e-5,1.6283968553324162e-5,3.864351072929043e-5,4.958229008854024e-5,6.0521069447790054e-05,1000.0086135357221,0.0028288555907625343,2
Rodney Hudson,Blocker,4.950017593637698e-5,1.4844200596681929e-5,3.9528562778330155e-5,4.950017593637698e-5,5.947178909442381e-5,1000.008599271033,0.002578742279222659,2
Lawrence Guy,Rusher,4.89474414481919e-5,1.3187660973723089e-5,4.008861117080856e-5,4.89474414481919e-5,5.780627172557525e-5,1000.0085032512177,0.0022908908397569544,2
David Edwards,Blocker,4.849834706821484e-5,2.211319861397404e-6,4.701288976231657e-5,4.849834706821484e-5,4.998380437411311e-5,1000.0084252355332,3.841861216725901e-4,2
Trai Turner,Blocker,4.6918193883776845e-5,3.229269911949737e-5,2.5225526680074072e-5,4.6918193883776845e-5,6.861086108747962e-5,1000.0081507348098,0.005609775897052345,2
Danielle Hunter,Rusher,4.6627074871849246e-5,5.774102503161272e-5,7.839458036959476e-6,4.6627074871849246e-5,8.541469170673901e-5,1000.0081001622576,0.010030602904052272,2
Brandon Scherff,Blocker,4.6012867910672e-5,2.821768323476275e-5,2.7057598504231037e-5,4.6012867910672e-5,6.496813731711297e-5,1000.0079934635801,0.004901954164609687,2
Ereck Flowers Sr.,Blocker,4.394660948116488e-5,4.986922968370914e-6,4.059663678538436e-5,4.394660948116488e-5,4.72965821769454e-5,1000.0076345177263,8.662767344796846e-4,2
Haason Reddick,Rusher,4.346990576581202e-5,3.3341736622321698e-6,4.123016979990496e-5,4.346990576581202e-5,4.570964173171908e-5,1000.0075517058092,5.79245805537162e-4,2
Lloyd Cushenberry III,Blocker,4.332827881775029e-5,1.2017030200704151e-5,3.525582145034092e-5,4.332827881775029e-5,5.140073618515966e-5,1000.0075271026883,0.002087531445741807,2
Ben Cleveland,Blocker,4.26707685312823e-5,8.506582878667224e-6,3.695645921496287e-5,4.26707685312823e-5,4.838507784760173e-5,1000.0074128814526,0.001477785317882882,2
Darrell Taylor,Rusher,4.264095171551305e-5,5.420460994711247e-7,4.227683146649389e-5,4.264095171551305e-5,4.300507196453222e-5,1000.0074077017412,9.420356827000953e-5,2
Daquan Jones,Rusher,4.249159197073228e-5,2.2881147137577912e-5,2.7121148383539197e-5,4.249159197073228e-5,5.7862035557925354e-5,1000.007381755296,0.003974902892788166,2
Ali Marpet,Blocker,4.122227589778775e-5,3.8395537291400526e-5,1.5430018351039983e-5,4.122227589778775e-5,6.701453344453553e-5,1000.0071612525095,0.0066699474738802405,2
Tershawn Wharton,Rusher,4.0600098319001335e-5,6.5357813947313446e-6,3.6209677741662296e-5,4.0600098319001335e-5,4.4990518896340366e-5,1000.0070531691938,0.0011353410015837392,2
Larry Ogunjobi,Rusher,4.059205174883998e-5,1.6559058742185214e-5,2.9468480158507708e-5,4.059205174883998e-5,5.171562333917225e-5,1000.0070517713614,0.0028765626186603786,2
Alex Cappa,Blocker,4.025414377918409e-5,2.4631396295440442e-5,2.3707967796114907e-5,4.025414377918409e-5,5.680031976225328e-5,1000.0069930707348,0.004278871280838038,2
Mason Cole,Blocker,3.992006690729379e-5,3.0264496661823163e-5,1.9589847629459638e-5,3.992006690729379e-5,6.0250286185127944e-5,1000.006935035638,0.005257522075321567,2
Bryan Mone,Rusher,3.9270076312271825e-5,3.5169032020791734e-5,1.564522833408659e-5,3.9270076312271825e-5,6.289492429045706e-5,1000.0068221207065,0.006109527132511507,2
Kenny Clark,Rusher,3.9040650746192804e-5,5.718401300165182e-6,3.519930642614467e-5,3.9040650746192804e-5,4.288199506624094e-5,1000.0067822654034,9.933475357248955e-4,2
Brian Allen,Blocker,3.889396520197224e-5,5.7497406610512955e-5,2.6999939278499485e-7,3.889396520197224e-5,7.751793101115948e-5,1000.0067567835146,0.009988282049625118,2
Derick Roberson,Rusher,3.852822239059742e-5,9.484795321253108e-6,3.215679745526414e-5,3.852822239059742e-5,4.4899647325930704e-5,1000.0066932474806,0.0016477182243086182,2
Dawuane Smoot,Rusher,3.7966479250859e-5,1.3756095362087605e-5,2.872580235333708e-5,3.7966479250859e-5,4.7207156148380905e-5,1000.0065956627024,0.0023897190395674893,2
Frank Ragnow,Blocker,3.792275206457213e-5,1.1657993647501728e-5,3.0091478019552873e-5,3.792275206457213e-5,4.5754026109591386e-5,1000.006588066512,0.0020251604081618175,2
Maliek Collins,Rusher,3.767823417638446e-5,6.603293059067484e-5,-6.679482175788e-6,3.767823417638447e-5,8.203595052855693e-5,1000.0065455894041,0.011471054435513902,2
Matt Ioannidis,Rusher,3.752310567669962e-5,4.5186405999496525e-6,3.448770233722884e-5,3.752310567669962e-5,4.0558509016170414e-5,1000.0065186408237,7.850087875655822e-4,2
Yetur Gross-Matos,Rusher,3.6284036762605194e-5,6.934302412514983e-5,-1.0297239694926823e-5,3.6284036762605194e-5,8.286531322013722e-5,1000.0063033925069,0.012046157610631875,2
Matt Paradis,Blocker,3.62647566931926e-5,1.4432282168579414e-5,2.656985033326241e-5,3.62647566931926e-5,4.595966305312279e-5,1000.0063000432158,0.002507184719074421,2
Ed Oliver,Rusher,3.564596297439779e-5,3.523546351770012e-5,1.1976489542361679e-5,3.564596297439779e-5,5.9315436406433896e-5,1000.0061925477366,0.006121067465424342,2
Jonah Jackson,Blocker,3.530069804619813e-5,4.4943098259524994e-5,5.110106976696856e-6,3.530069804619813e-5,6.54912891156994e-5,1000.0061325690755,0.00780737531329595,2
Tyler Shatley,Blocker,3.5284234817938134e-5,1.2572978116514557e-5,2.6838318636335497e-5,3.5284234817938134e-5,4.373015099954077e-5,1000.0061297091197,0.002184109490611722,2
Deforest Buckner,Rusher,3.5240616073720794e-5,1.8968214872779287e-5,2.249869037835232e-5,3.5240616073720794e-5,4.798254176908927e-5,1000.0061221317678,0.003295156936507187,2
Andrew Whitworth,Blocker,3.4253684753870954e-5,8.930355717636364e-6,2.825470542183966e-5,3.4253684753870954e-5,4.025266408590225e-5,1000.0059506842373,0.0015513211675988359,2
Odafe Oweh,Rusher,3.341385028296478e-5,2.8223132234330393e-5,1.4454920503206103e-5,3.341385028296478e-5,5.2372780062723454e-5,1000.0058047900468,0.004902900752803657,2
A.J. Epenesa,Rusher,3.3328062481023885e-5,1.4594775907749036e-5,2.3524000717469856e-5,3.3328062481023885e-5,4.313212424457791e-5,1000.0057898871792,0.0025353317402338374,2
Shaq Mason,Blocker,3.317956842424086e-5,4.5373674673502064e-5,2.699737027704514e-6,3.317956842424086e-5,6.36593998207772e-5,1000.0057640911193,0.007882255130001044,2
Markus Golden,Rusher,3.2923539814865e-5,2.4877952324303884e-5,1.6211739463841635e-5,3.2923539814865e-5,4.9635340165888365e-5,1000.0057196143944,0.004321702449941713,2
Milton Williams,Rusher,3.244674386075951e-5,1.9781497815681187e-5,1.9158494175639214e-5,3.244674386075951e-5,4.57349935458798e-5,1000.0056367864537,0.0034363576217758245,2
Kelvin Beachum,Blocker,3.238285504460558e-5,2.323337399351461e-5,1.6775802558981093e-5,3.238285504460558e-5,4.798990753023008e-5,1000.0056256878297,0.004036090964809798,2
Ryan Ramczyk,Blocker,3.1878341035315455e-5,4.0641974862097114e-5,4.577035810803487e-6,3.1878341035315455e-5,5.917964625982742e-5,1000.0055380447695,0.00706019365025493,2
Jason Kelce,Blocker,3.087517292605301e-5,2.4611556807916027e-5,1.4342324147339413e-5,3.087517292605301e-5,4.74080217047666e-5,1000.0053637766198,0.004275505841382669,2
Jon Feliciano,Blocker,3.037518431562291e-5,9.952381022743673e-6,2.368965801099527e-5,3.037518431562291e-5,3.706071062025056e-5,1000.005276919702,0.0017288651477524095,2
Emmanuel Ogbah,Rusher,3.0198875143509057e-5,2.501078239839939e-5,1.3397845998654168e-5,3.0198875143509057e-5,4.6999904288363945e-5,1000.0052462916617,0.004344777397234411,2
Keith Ismael,Blocker,3.0161915453388806e-5,1.9101058452956524e-5,1.7330751891458927e-5,3.0161915453388806e-5,4.299307901531868e-5,1000.0052398711059,0.0033182342301058603,2
Ndamukong Suh,Rusher,2.9673063428862997e-5,4.077590253480758e-6,2.6933936295683398e-5,2.9673063428862997e-5,3.2412190562042594e-5,1000.0051549488113,7.083904948735903e-4,2
Oday Aboushi,Blocker,2.953956158392296e-5,4.679898383350039e-6,2.6395833095898725e-5,2.953956158392296e-5,3.2683290071947194e-5,1000.0051317571654,8.12941101269272e-4,2
Jordan Mills,Blocker,2.951913186344494e-5,3.07532411668606e-5,8.860597759520132e-6,2.951913186344494e-5,5.017766596736975e-5,1000.0051282081595,0.00534234465947023,2
Matthew Judon,Rusher,2.9445862232695697e-5,2.5133265770366286e-6,2.775753148003467e-5,2.9445862232695697e-5,3.113419298535672e-5,1000.005115479921,4.366500616568434e-4,2
Daniel Ekuale,Rusher,2.9339714779411632e-5,5.831233643286271e-6,2.5422575170153314e-5,2.9339714779411632e-5,3.325685438866995e-5,1000.0050970402197,0.0010130295538307852,2
Efe Obada,Rusher,2.8845698046330793e-5,6.100463566791522e-5,-1.2134253940036907e-5,2.8845698046330793e-5,6.982565003269849e-5,1000.0050112207232,0.010597631172657261,2
Harold Landry III,Rusher,2.8791942865673702e-5,2.4599340670791994e-5,1.2267300294690398e-5,2.8791942865673702e-5,4.5316585436657e-5,1000.0050018824918,0.004273302648495331,2
Carlos Dunlap,Rusher,2.8791604117619688e-5,1.982215226386513e-5,1.5476044748302942e-5,2.8791604117619688e-5,4.210716348693643e-5,1000.0050018236453,0.0034435010553473025,2
Jabari Zuniga,Rusher,2.8779728809842463e-5,1.058454194488161e-5,2.166954749411219e-5,2.8779728809842463e-5,3.588991012557274e-5,1000.0049997606931,0.001838682747783691,2
Charles Omenihu,Rusher,2.8096560414194427e-5,4.265244880494821e-5,-5.552835807869685e-7,2.8096560414194427e-5,5.6748404409175824e-5,1000.0048810821872,0.0074094487459979135,2
Tarell Basham,Rusher,2.7621095739071814e-5,3.121246077803789e-5,6.654080199085564e-6,2.7621095739071817e-5,4.858811127905807e-5,1000.0047984855134,0.005422200309212558,2
Nate Davis,Blocker,2.724848945784411e-5,3.0709649497559875e-5,6.619238120636799e-6,2.724848945784411e-5,4.7877740795051416e-5,1000.0047337571726,0.0053348530434813345,2
Nathan Shepherd,Rusher,2.7035740489544307e-5,5.6982995704882576e-5,-1.1242669051939762e-5,2.7035740489544307e-5,6.531415003102836e-5,1000.0046967988915,0.009899000754996445,2
Dre'Mont Jones,Rusher,2.697684510980919e-5,2.874301749335824e-5,7.668681657557873e-6,2.697684510980919e-5,4.6285008562060506e-5,1000.0046865677161,0.00499313303996425,2
Patrick Queen,Rusher,2.694663771484111e-5,8.090780867034569e-6,2.1511643999475317e-5,2.694663771484111e-5,3.23816314302069e-5,1000.0046813201541,0.0014054720776705675,2
John Franklin-Myers,Rusher,2.6890152399307226e-5,2.406341358216485e-7,2.6728506071543994e-5,2.6890152399307226e-5,2.7051798727070455e-5,1000.0046715076498,4.1842947182482854e-5,2
Rob Havenstein,Blocker,2.6359755542163026e-5,1.753288914176783e-5,1.4582011976523804e-5,2.6359755542163026e-5,3.813749910780225e-5,1000.0045793682784,0.0030458153187083443,2
Vita Vea,Rusher,2.5853343060371785e-5,1.1686178203409016e-5,1.800313599927609e-5,2.5853343060371785e-5,3.3703550121467476e-5,1000.0044913954199,0.0020301375995274876,2
Alex Singleton,Rusher,2.5768488451506257e-5,3.0264292723664834e-5,5.438406169424067e-6,2.5768488451506257e-5,4.6098570733588446e-5,1000.0044766546646,0.005257405615117735,2
Everson Griffen,Rusher,2.544952268740585e-5,2.316731560815769e-5,9.88684501740946e-6,2.544952268740585e-5,4.101220035740223e-5,1000.004421244636,0.00402453441539923,2
Lane Johnson,Blocker,2.521594456391419e-5,1.4952942825128979e-5,1.5171283657087928e-5,2.521594456391419e-5,3.526060547074045e-5,1000.00438066796,0.0025975517066425644,2
Matt Milano,Rusher,2.5084712238452223e-5,1.8803102107275132e-5,1.2453701281424776e-5,2.5084712238452223e-5,3.7715723195479665e-5,1000.0043578705701,0.0032663928788390305,2
Chris Smith,Rusher,2.491128186208189e-5,4.700127501302866e-5,-6.661892409738193e-6,2.491128186208189e-5,5.6484456133901974e-5,1000.0043277426279,0.008164998268497495,2
Jermaine Carter Jr.,Rusher,2.4537959949898088e-5,1.2828348782892075e-6,2.3676213770396216e-5,2.4537959949898088e-5,2.539970612939996e-5,1000.0042628899694,2.2281072732406183e-4,2
Brian Burns,Rusher,2.4230651547692877e-5,3.500890358305074e-5,7.133700784857272e-7,2.4230651547692877e-5,4.774793301690002e-5,1000.0042095050319,0.006081628941172523,2
Marquis Haynes Sr.,Rusher,2.3912518136165684e-5,1.397572181053511e-5,1.4524306855169875e-5,2.3912518136165684e-5,3.330072941716149e-5,1000.0041542395979,0.0024278720614662164,2
Rakeem Nunez-Roches,Rusher,2.390797887745797e-5,9.871639078574917e-6,1.7276691090265844e-5,2.390797887745797e-5,3.05392666646501e-5,1000.0041534510478,0.001714919867935143,2
Tyus Bowser,Rusher,2.3827756632383108e-5,1.4854290939263812e-5,1.384936527215534e-5,2.3827756632383108e-5,3.380614799261087e-5,1000.0041395150165,0.0025804951513044103,2
B.J. Finney,Blocker,2.310136921693503e-5,2.3614754731490366e-5,7.238123670575776e-6,2.3101369216935025e-5,3.8964614763294275e-5,1000.004013328598,0.004102262552298405,2
Kolton Miller,Blocker,2.3091733968720507e-5,3.023208252585411e-5,2.783288933468872e-6,2.3091733968720507e-5,4.3400179003972145e-5,1000.004011654784,0.005251810130687026,2
Justin Houston,Rusher,2.2924999077103084e-5,5.205021808061706e-5,-1.2039809981587738e-5,2.2924999077103084e-5,5.7889808135793914e-5,1000.0039826899667,0.009042089513970255,2
Von Miller,Rusher,2.267602403455628e-5,1.8864697741763785e-5,1.0003636121232341e-5,2.267602403455628e-5,3.5348411947880214e-5,1000.0039394385718,0.003277093136540186,2
Shaka Toney,Rusher,2.252964016440831e-5,1.707446149512284e-5,1.1059846031513848e-5,2.252964016440831e-5,3.3999434297302776e-5,1000.0039140090889,0.0029661782797771067,2
Donovan Smith,Blocker,2.251640713730381e-5,3.5964402028141955e-6,2.010049324453906e-5,2.251640713730381e-5,2.4932321030068558e-5,1000.0039117102767,6.247251375792475e-4,2
